name,code,pop
Antigua and Barbuda,ATG,83039
Algeria,DZA,32854159
Azerbaijan,AZE,8352021
Albania,ALB,3153731
Armenia,ARM,3017661
Angola,AGO,16095214
American Samoa,ASM,64051
Argentina,ARG,38747148
Australia,AUS,20310208
Bahrain,BHR,724788
Barbados,BRB,291933
Bermuda,BMU,64174
Bahamas,BHS,323295
Bangladesh,BGD,15328112
Belize,BLZ,275546
Bosnia and Herzegovina,BIH,3915238
Bolivia,BOL,9182015
Burma,MMR,47967266
Benin,BEN,8490301
Solomon Islands,SLB,472419
Brazil,BRA,186830759
Bulgaria,BGR,7744591
Brunei Darussalam,BRN,373831
Canada,CAN,32270507
Cambodia,KHM,13955507
Sri Lanka,LKA,19120763
Congo,COG,3609851
Democratic Republic of the Congo,COD,58740547
Burundi,BDI,7858791
China,CHN,1312978855
Afghanistan,AFG,25067407
Bhutan,BTN,637013
Chile,CHL,16295102
Cayman Islands,CYM,45591
Cameroon,CMR,17795149
Chad,TCD,10145609
Comoros,COM,797902
Colombia,COL,4494579
Costa Rica,CRI,4327228
Central African Republic,CAF,4191429
Cuba,CUB,11259905
Cape Verde,CPV,506807
Cook Islands,COK,13984
Cyprus,CYP,836321
Denmark,DNK,5416945
Djibouti,DJI,804206
Dominica,DMA,67827
Dominican Republic,DOM,9469601
Ecuador,ECU,13060993
Egypt,EGY,72849793
Ireland,IRL,4143294
Equatorial Guinea,GNQ,484098
Estonia,EST,1344312
Eritrea,ERI,4526722
El Salvador,SLV,6668356
Ethiopia,ETH,78985857
Austria,AUT,8291979
Czech Republic,CZE,10191762
French Guiana,GUF,192099
Finland,FIN,5246004
Fiji,FJI,828046